,coefficient,std_err,t_value,p_value
Intercept,4.2551980060246954,0.0451082855543571,94.33295798611165,2.0466017172538564e-216
wins,0.0067526473631327015,0.0010521583085008192,6.417900527492193,5.774251959252498e-10
