,teamid,season,seasonsq,revenue,lnrevenue,value,lnvalue,wins,playoff,champ,allstars,relocated,othfranchise,newarenayr1,newarenayr2,newarenayr3,newarenayr4,cpi,realgdp,realgdppc,citypop,lncitypop,gdpmetro,lngdpmetro,season1,season2,season3,season4,season5,season6,season7,season8,season9,season10,bucksdummy,grizzliesdummy,hawksdummy,timberwolvesdummy,bobcatsdummy,pacersdummy,hornetsdummy,kingsdummy,sixersdummy,nuggetsdummy,clippersdummy,wizardsdummy,cavaliersdummy,pistonsdummy,jazzdummy,sonicsdummy,netsdummy,trailblazersdummy,magicdummy,sunsdummy,spursdummy,warriorsdummy,rocketsdummy,heatdummy,celticsdummy,mavericksdummy,bullsdummy,lakersdummy,knicksdummy
count,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0
mean,14.86013986013986,5.541958041958042,38.93356704711914,95.71405029296875,4.53229284286499,284.19024658203125,5.614848613739014,41.03496503496503,0.5454545454545454,0.03496503496503497,0.8601398601398601,0.07692307692307693,2.800699300699301,0.02097902097902098,0.017482517482517484,0.038461538461538464,0.04895104895104895,118.43087768554688,274674.25524475524,51339.468531468534,5.149762153625488,1.3005081415176392,278498.9265734266,12.141605377197266,0.0979020979020979,0.0979020979020979,0.0979020979020979,0.0979020979020979,0.10139860139860139,0.10139860139860139,0.10139860139860139,0.10139860139860139,0.10139860139860139,0.10139860139860139,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.02097902097902098,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497
std,8.35493458443542,2.8721264837371323,32.48631286621094,24.442073822021484,0.23598551750183105,80.28600311279297,0.25757330656051636,12.437584572527463,0.498802393489843,0.18401324943095573,0.8713884754272051,0.26693643574593734,2.3167126287046287,0.1435652046262918,0.13129032262926382,0.1926447787930452,0.2161439198465114,8.078974723815918,272015.55586469726,8036.258180778481,4.754586219787598,0.8005334138870239,280178.5159213798,0.8700275421142578,0.2977031446111593,0.2977031446111593,0.2977031446111593,0.2977031446111593,0.30238490958031733,0.30238490958031733,0.30238490958031733,0.30238490958031733,0.30238490958031733,0.30238490958031733,0.18401324943095573,0.1840132494309557,0.18401324943095568,0.18401324943095568,0.14356520462629183,0.1840132494309557,0.1840132494309557,0.1840132494309557,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.1840132494309557,0.18401324943095573,0.18401324943095573,0.18401324943095573,0.18401324943095573
min,1.0,1.0,1.0,58.49582290649414,4.068955421447754,158.94039916992188,5.06852912902832,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.69999694824219,46808.0,26681.0,0.9848862886428833,-0.015229087322950363,43318.0,10.676323890686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,8.0,3.0,9.0,77.57805633544922,4.351284503936768,226.2019271850586,5.421427845954895,32.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.69999694824219,88536.5,45498.5,1.9599018692970276,0.6728894710540771,89288.5,11.399555921554565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,15.0,6.0,36.0,89.84868621826172,4.498126983642578,262.41741943359375,5.56993556022644,42.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,120.44000244140625,182224.5,51507.0,4.062217473983765,1.4016700387001038,190720.5,12.15856409072876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,22.0,8.0,64.0,108.70620918273926,4.68864893913269,323.93467712402344,5.780534505844116,50.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,125.54000091552734,307345.75,56464.25,5.578444838523865,1.7189093232154846,325168.75,12.692092180252075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,29.0,10.0,100.0,187.72119140625,5.234957695007324,692.4142456054688,6.540184497833252,67.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,129.97999572753906,1147917.0,72181.0,18.920045852661133,2.9402220249176025,1280517.0,14.062774658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
