,coefficient,std_err,t_value,p_value
Intercept,0.9999999999999964,4.810397061208461e-15,207883047340124.97,2.4547853486658257e-43
x,2.0,1.450389285877886e-15,1378940136605771.8,8.41074580825021e-46
