,Coefficient,Std. Error,Robust SE,t-stat (standard),t-stat (robust),p-value (standard),p-value (robust)
Intercept,115017.28260869568,21489.35986139162,20298.704493299672,5.352289847188,5.666237598890182,1.1835449766690438e-05,5.120100884122301e-06
size,73.77104037267074,11.174911050448978,11.329669077755073,6.601487925911215,6.511314661212344,4.408751595379426e-07,5.564663207734383e-07
