,Coefficient,SE (Default),SE (HC1),SE Ratio
Intercept,137791.06569862174,61464.95186851999,65545.22539098139,1.0663837422534639
size,68.36941897665434,15.389471827305096,15.359191554986207,0.9980324034080778
bedrooms,2685.3151216093465,9192.5256739684,8285.528329339451,0.9013331725363136
bathrooms,6832.880014809998,15721.191543882062,19283.790798124854,1.2266112746160889
lotsize,2303.2213714952213,7226.5352049323155,5328.859590321674,0.7374017339159402
age,-833.0386018293625,719.3345439383558,762.9295185914502,1.060604589367295
monthsold,-2088.503625497813,3520.8978593541897,3738.2704555377773,1.0617378307655476
