,Coefficient,Std. Error,Robust SE,t-stat (std),t-stat (robust),p-value (std),p-value (robust)
Intercept,137791.06569862174,61464.95186851999,65545.22539098139,2.2417826990798164,2.1022288790173405,0.03538702224315062,0.04720304616566398
size,68.36941897665434,15.389471827305096,15.359191554986207,4.442609840277199,4.4513683374473505,0.00020463721060577894,0.00020030528583964144
bedrooms,2685.3151216093465,9192.5256739684,8285.528329339451,0.29211940405167236,0.3240970297694255,0.7729323589240021,0.7489257373348132
bathrooms,6832.880014809998,15721.191543882062,19283.790798124854,0.4346286345877536,0.3543328221271942,0.6680653737383588,0.7264631965751187
lotsize,2303.2213714952213,7226.5352049323155,5328.859590321674,0.318717242244002,0.4322165619973088,0.7529471128425845,0.6697909394665746
age,-833.0386018293625,719.3345439383558,762.9295185914502,-1.1580683964772178,-1.0918945741768524,0.25925403765281974,0.28669323733272556
monthsold,-2088.503625497813,3520.8978593541897,3738.2704555377773,-0.5931735906365914,-0.5586817889015916,0.5591143074630087,0.5820214262534222
