,gdpc1,gdp,gdpdef,daten,quarter,popthm,year,realgdp,gdppc,realgdppc,growth
count,245.0,245.0,245.0,245,245.0,245.0,245.0,245.0,245.0,245.0,241.0
mean,9925.244902040817,7401.455836734695,59.71762040816327,1989-07-01 11:10:02.448979584,118.0,253116.88163265307,1989.1265869140625,9925.240234375,25841.466796875,37050.49609375,1.990456461906433
min,3121.936,510.33,16.347,1959-01-01 00:00:00,-4.0,176044.0,1959.0,3121.857177734375,2898.855712890625,17733.2578125,-4.772172451019287
25%,5674.1,1530.056,26.88,1974-04-01 00:00:00,57.0,213600.0,1974.0,5674.072265625,7163.10546875,26562.724609375,0.8924172520637512
50%,9238.923,5695.365,61.645,1989-07-01 00:00:00,118.0,247695.0,1989.0,9238.9736328125,22993.150390625,36929.01171875,2.089632749557495
75%,14609.876,12522.425,85.712,2004-10-01 00:00:00,179.0,294337.0,2004.0,14609.8857421875,42544.94921875,49318.171875,3.314237594604492
max,19221.97,21729.124,113.502,2020-01-01 00:00:00,240.0,329527.0,2020.0,19221.998046875,66008.5859375,58392.453125,7.630545139312744
std,4814.024614730329,6331.0020125892715,31.19563014136427,,70.86959838867188,45611.788761130934,17.717857360839844,4814.02587890625,19184.6875,12089.6845703125,2.1780974864959717
