,year,hlthgdp,hlthpc,infmort,lifeexp,gdppc,hlthpcsq,lnhlthpc,lngdppc,lnlifeexp,lninfmort
count,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
mean,2009.0,9.673529624938965,3255.6470588235293,4.447059154510498,76.70294189453125,33054.03515625,12764623.0,7.973379611968994,10.337658882141113,4.339206695556641,1.3770005702972412
std,0.0,2.123934268951416,1493.6543935647662,2.720097541809082,2.936755895614624,12916.7529296875,11839147.0,0.5130605101585388,0.3774254024028778,0.039167556911706924,0.4451432228088379
min,2009.0,6.400000095367432,923.0,1.7999999523162842,69.80000305175781,13806.1630859375,851929.0,6.827629089355469,9.532870292663574,4.245634078979492,0.5877866148948669
25%,2009.0,8.099999904632568,2090.75,3.0999999046325684,75.85000228881836,25511.00048828125,4373073.25,7.645071029663086,10.146861553192139,4.328757047653198,1.1314021348953247
50%,2009.0,9.600000381469727,3188.5,3.6999999284744263,77.64999771118164,32899.482421875,10173338.5,8.066970825195312,10.401017189025879,4.352211236953735,1.307967483997345
75%,2009.0,10.775000095367432,4154.75,4.899999976158142,78.69999694824219,38182.1953125,17276752.0,8.331568956375122,10.550111055374146,4.36564302444458,1.588592529296875
max,2009.0,17.700000762939453,7990.0,14.699999809265137,79.9000015258789,82900.8828125,63840100.0,8.985945701599121,11.325401306152344,4.3807759284973145,2.687847375869751
