,price,size,bedrooms,bathrooms,lotsize,age,monthsold
price,1.0,0.7857820524477449,0.42727530577002065,0.32979278670068335,0.15347859074810413,-0.06801485258656795,-0.20998489022778652
size,0.7857820524477449,1.0,0.5176302519402111,0.31633816509735874,0.1124372734827176,0.07692458398526636,-0.2145113384501777
bedrooms,0.42727530577002065,0.5176302519402111,1.0,0.03743529619759118,0.2922064602034244,-0.026139894850821452,0.18251168662836495
bathrooms,0.32979278670068335,0.31633816509735874,0.03743529619759118,1.0,0.10157490003667385,0.03701787481449772,-0.39230985990383754
lotsize,0.15347859074810413,0.1124372734827176,0.2922064602034244,0.10157490003667385,1.0,-0.01922042330465734,-0.05714045774510513
age,-0.06801485258656795,0.07692458398526636,-0.026139894850821452,0.03701787481449772,-0.01922042330465734,1.0,-0.366206788277996
monthsold,-0.20998489022778652,-0.2145113384501777,0.18251168662836495,-0.39230985990383754,-0.05714045774510513,-0.366206788277996,1.0
