,coefficient,std_err,t_value,p_value
Intercept,63476.31781376524,2776.9833099764965,22.85801199658722,1.2164436840536571e-115
gender,-16396.423633871018,3217.4291116839504,-5.096125839829116,3.466747293955216e-07
