,mean,stdev,numobs
count,100.0,100.0,100.0
mean,23.782001495361328,18.245018005371094,25.0
std,3.7606935501098633,2.8907530307769775,0.0
min,14.600000381469727,12.362847328186035,25.0
25%,22.020000457763672,16.148388385772705,25.0
50%,23.75999927520752,18.434547424316406,25.0
75%,26.19000005722046,20.387874126434326,25.0
max,33.439998626708984,25.30658721923828,25.0
