,earnings,lnearnings,dearnings,gender,age,lnage,agesq,education,educsquared,agebyeduc,genderbyage,genderbyeduc,hours,lnhours,genderbyhours,dself,dprivate,dgovt,stateunemp,stateincomepc,pernum,perwt,incbus00
count,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0,872.0
mean,56368.69140625,10.691164016723633,0.1639908254146576,0.4334862385321101,43.31077981651376,3.73628568649292,1989.6708984375,13.853211402893066,200.22018432617188,598.8199462890625,19.042430877685547,6.082568645477295,44.34288990825688,3.777036428451538,18.564220428466797,0.09059633314609528,0.7603210806846619,0.14908257126808167,9.596903800964355,40772.99082568807,1.5447247706422018,145.78440856933594,3540.4827981651374
std,51516.0546875,0.6842474937438965,0.3704797327518463,0.4958405657367618,10.6760447677301,0.2578885555267334,935.69189453125,2.884140729904175,73.90841674804688,193.69064331054688,22.8697566986084,7.172633647918701,8.499103479257474,0.16476747393608093,21.759788513183594,0.287198930978775,0.4271324872970581,0.35637426376342773,1.6491940021514893,5558.626289169674,0.8915058623348723,90.9878158569336,20495.125401733196
min,4000.0,8.294049263000488,0.0,0.0,25.0,3.2188758850097656,625.0,0.0,0.0,0.0,0.0,0.0,35.0,3.5553481578826904,0.0,0.0,0.0,0.0,4.800000190734863,31186.0,1.0,14.0,-7500.0
25%,29000.0,10.27505111694336,0.0,0.0,35.0,3.5553481578826904,1225.0,12.0,144.0,464.0,0.0,0.0,40.0,3.6888794898986816,0.0,0.0,1.0,0.0,8.5,36395.0,1.0,82.0,0.0
50%,44200.0,10.696479797363281,0.0,0.0,44.0,3.7841897010803223,1936.0,13.0,169.0,588.0,0.0,0.0,40.0,3.6888794898986816,0.0,0.0,1.0,0.0,9.449999809265137,39493.0,1.0,109.0,0.0
75%,64250.0,11.07051420211792,0.0,1.0,51.25,3.9366801381111145,2626.75,16.0,256.0,720.0,42.0,13.0,48.0,3.8712010383605957,40.0,0.0,1.0,0.0,10.899999618530273,43117.75,2.0,195.0,0.0
max,504000.0,13.130331993103027,1.0,1.0,65.0,4.174387454986572,4225.0,20.0,400.0,1260.0,65.0,20.0,99.0,4.595119953155518,80.0,1.0,1.0,1.0,14.399999618530273,71044.0,8.0,626.0,285000.0
