,coefficient,std_err,t_value,p_value
Intercept,137791.06569862174,61464.95186851999,2.2417826990798164,0.03538702224315062
size,68.36941897665434,15.389471827305096,4.442609840277199,0.00020463721060577894
bedrooms,2685.3151216093465,9192.5256739684,0.29211940405167236,0.7729323589240021
bathrooms,6832.880014809998,15721.191543882062,0.4346286345877536,0.6680653737383588
lotsize,2303.2213714952213,7226.5352049323155,0.318717242244002,0.7529471128425845
age,-833.0386018293625,719.3345439383558,-1.1580683964772178,0.25925403765281974
monthsold,-2088.503625497813,3520.8978593541897,-0.5931735906365914,0.5591143074630087
