,coefficient,std_err,t_value,p_value,conf_lower,conf_upper
Intercept,115017.28260869568,21489.35986139162,5.352289847188,1.1835449766690438e-05,70924.75826546585,159109.8069519255
size,73.77104037267074,11.174911050448978,6.601487925911215,4.408751595379426e-07,50.84201686040679,96.70006388493469
